id,title,condition,price,currency_id,available_quantity,permalink,thumbnail,seller_id,category_id,base_price,warranty,color
MLA1430826065,Consola Nintendo Switch Oled 64gb Negra Soy Gamer ,new,796181,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1430826065-consola-nintendo-switch-oled-64gb-negra-soy-gamer-_JM,http://http2.mlstatic.com/D_803086-MLA47920649105_102021-I.jpg,191179311,MLA438566,796181,Garantía del vendedor: 1 meses,
MLA934082045,Nintendo Switch 32gb Standard  Color Gris Y Negro 2019,new,728000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-934082045-nintendo-switch-32gb-standard-color-gris-y-negro-2019-_JM,http://http2.mlstatic.com/D_963849-MLA74651893030_022024-I.jpg,69526727,MLA438566,728000,Garantía del vendedor: 12 meses,Gris/Negro
MLA1703879192,Pc Armada Asus Gamer Amd Ryzen 7 8700g 32g Ram 1tb M2 Ver2.0,new,1727599,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1703879192-pc-armada-asus-gamer-amd-ryzen-7-8700g-32g-ram-1tb-m2-ver20-_JM,http://http2.mlstatic.com/D_730724-MLA77053175505_062024-I.jpg,91988078,MLA1649,1727599,Garantía del vendedor: 1 años,
MLA1422759707, Apple Tv  3.ª Generación Full Hd,used,65000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1422759707-apple-tv-3-generacion-full-hd-_JM,http://http2.mlstatic.com/D_906655-MLA75920103537_042024-I.jpg,186980127,MLA352001,65000,Sin garantía,
MLA1412833394,Amazon Fire Tv Stick 4k Last Version Cargador Orig. + Cuot.s,new,169998,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1412833394-amazon-fire-tv-stick-4k-last-version-cargador-orig-cuots-_JM,http://http2.mlstatic.com/D_856996-MLU69145766705_042023-I.jpg,247639927,MLA352001,169998,Garantía del vendedor: 3 meses,
MLA1143483929,Apple Tv 4k 32gb Negro 1.ª Generación 2017,new,259990,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1143483929-apple-tv-4k-32gb-negro-1-generacion-2017-_JM,http://http2.mlstatic.com/D_729472-MLU74219531278_012024-I.jpg,119914491,MLA352001,259990,Garantía del vendedor: 6 meses,Negro
MLA1433268517, Apple Tv A1427 Estándar 3.ª Generación Full Hd 8gb ,used,89000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1433268517-apple-tv-a1427-estandar-3-generacion-full-hd-8gb-_JM,http://http2.mlstatic.com/D_601994-MLA76847832546_062024-I.jpg,21139972,MLA352001,89000,Garantía del vendedor: 30 días,
MLA1774620320,Microsoft Xbox Series S S 512gb Standard  Color Blanco,new,1620757.32,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1774620320-microsoft-xbox-series-s-s-512gb-standard-color-blanco-_JM,http://http2.mlstatic.com/D_918688-MLA76399121345_052024-I.jpg,237714148,MLA438566,1620757.32,Garantía de fábrica: 6 meses,
MLA1140747973,Pc Armada Computadora Gamer Amd Ryzen 5 5600g 16g 240gb Ver2,new,647499,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1140747973-pc-armada-computadora-gamer-amd-ryzen-5-5600g-16g-240gb-ver2-_JM,http://http2.mlstatic.com/D_806004-MLA76810586113_062024-I.jpg,91988078,MLA1649,647499,Garantía del vendedor: 1 años,
MLA1359484285,"Amazon Fire Tv Stick 4k 8gb Hdr Dolby 1,5gb Ram Control Voz",new,85000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1359484285-amazon-fire-tv-stick-4k-8gb-hdr-dolby-15gb-ram-control-voz-_JM,http://http2.mlstatic.com/D_619135-MLA46540056178_062021-I.jpg,37761986,MLA352001,85000,Garantía de fábrica: 6 meses,
MLA1741705506,Consola Playstation 4 Slim Call Of Duty Modern Warfare Ii Bundle,new,1205999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1741705506-consola-playstation-4-slim-call-of-duty-modern-warfare-ii-bundle-_JM,http://http2.mlstatic.com/D_757794-MLA74676489520_022024-I.jpg,340109223,MLA438566,1205999,Garantía del vendedor: 6 meses,Negro
MLA1433422401,Nintendo Switch Oled Heg-001 64gb Pokémon Scarlet & Violet Edition  Color Rojo Y Violeta Y Negro 2022,new,874000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1433422401-nintendo-switch-oled-heg-001-64gb-pokemon-scarlet-violet-edition-color-rojo-y-violeta-y-negro-2022-_JM,http://http2.mlstatic.com/D_861220-MLA74652675120_022024-I.jpg,758521932,MLA438566,874000,Garantía del vendedor: 6 meses,Rojo/Violeta/Negro
MLA1766051092,Consola Xbox Series S 512gb Digital Blanco,new,999999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1766051092-consola-xbox-series-s-512gb-digital-blanco-_JM,http://http2.mlstatic.com/D_617595-MLU72567435624_112023-I.jpg,231153278,MLA438566,999999,Garantía de fábrica: 12 meses,Blanco
MLA1794555584,Apple Tv A1427 3.ª Generación Full Hd,used,80000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1794555584-apple-tv-a1427-3-generacion-full-hd-_JM,http://http2.mlstatic.com/D_746990-MLA76768134751_062024-I.jpg,233083452,MLA352001,80000,Sin garantía,
MLA1372890889,Pc Armada Cpu Intel Core I5 10400 16gb Ram 1tb Ssd Ver2.0,new,668499,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1372890889-pc-armada-cpu-intel-core-i5-10400-16gb-ram-1tb-ssd-ver20-_JM,http://http2.mlstatic.com/D_756885-MLA76609780396_062024-I.jpg,91988078,MLA1649,668499,Garantía del vendedor: 1 años,
MLA1443824322,Microsoft Xbox Series X Ghoul Special Edition Diablo Game Pa,new,1399999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1443824322-microsoft-xbox-series-x-ghoul-special-edition-diablo-game-pa-_JM,http://http2.mlstatic.com/D_961747-MLA70307631262_072023-I.jpg,561735131,MLA438566,1399999,Garantía de fábrica: 12 meses,
MLA1482999816,Pc Armada Completa Monitor Amd Ryzen 3 3200g 16g 480g Ver2.0,new,667379,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1482999816-pc-armada-completa-monitor-amd-ryzen-3-3200g-16g-480g-ver20-_JM,http://http2.mlstatic.com/D_883343-MLA76572424578_062024-I.jpg,91988078,MLA1649,667379,Garantía del vendedor: 1 años,
MLA1214351418,Pc Gamer Cpu Diseño Amd Ryzen 9 7900x 32g Ddr5 M2 1tb Ver2.0,new,2252318,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1214351418-pc-gamer-cpu-diseno-amd-ryzen-9-7900x-32g-ddr5-m2-1tb-ver20-_JM,http://http2.mlstatic.com/D_837253-MLA76436518315_052024-I.jpg,91988078,MLA1649,2252318,Garantía del vendedor: 1 años,
MLA1598302118,"Apple Tv 3 A1469  Full Hd Negro Completo, Sin Detalles.",used,65000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1598302118-apple-tv-3-a1469-full-hd-negro-completo-sin-detalles-_JM,http://http2.mlstatic.com/D_673729-MLA76636021612_062024-I.jpg,3099743,MLA352001,65000,Sin garantía,
MLA1806441160,Sony Playstation 5 Standard 825gb Ps5 + Juego Fifa 2023 Color Blanco,new,1199999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1806441160-sony-playstation-5-standard-825gb-ps5-juego-fifa-2023-color-blanco-_JM,http://http2.mlstatic.com/D_757020-MLU71094570314_082023-I.jpg,742081246,MLA438566,1199999,Garantía de fábrica: 1 meses,Blanco
MLA1813666938,Consola Nintendo Switch Oled Mario Red Color Rojo,new,768700,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1813666938-consola-nintendo-switch-oled-mario-red-color-rojo-_JM,http://http2.mlstatic.com/D_948949-MLU72200035063_102023-I.jpg,235131446,MLA438566,768700,Garantía de fábrica: 30 días,Rojo
MLA1683812562,Tarjeta De Memoria Sandisk Sdsquns-064g-gn3ma  Ultra Con Adaptador Sd 64gb,new,8795,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1683812562-tarjeta-de-memoria-sandisk-sdsquns-064g-gn3ma-ultra-con-adaptador-sd-64gb-_JM,http://http2.mlstatic.com/D_708283-MLU72566282948_112023-I.jpg,1670330808,MLA72904,8795,Sin garantía,
MLA1426697551,Asistente Virtual Home Google Assistant 2da Generation Blanc,new,255000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1426697551-asistente-virtual-home-google-assistant-2da-generation-blanc-_JM,http://http2.mlstatic.com/D_907041-MLA76340151171_052024-I.jpg,1093572823,MLA409415,255000,Garantía de fábrica: 30 días,
MLA1594852796, Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 64gb Negro,new,763400,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1594852796-apple-tv-4k-a2169-de-voz-2-generacion-2021-4k-64gb-negro-_JM,http://http2.mlstatic.com/D_677886-MLA74782155651_022024-I.jpg,244022676,MLA352001,763400,Garantía del vendedor: 1 meses,Negro
MLA1417242706,Pc Armada Gamer Cpu Amd Ryzen 5 4600g 1tb Ssd 8gb Ram,new,428499,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1417242706-pc-armada-gamer-cpu-amd-ryzen-5-4600g-1tb-ssd-8gb-ram-_JM,http://http2.mlstatic.com/D_608102-MLA76810882011_062024-I.jpg,91988078,MLA1649,428499,Garantía del vendedor: 1 años,
MLA1817725248,Sony Playstation 5 Slim Digital Cfi-2000b 1tb Digital  Color Blanco Y Negro 2023,new,1499999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1817725248-sony-playstation-5-slim-digital-cfi-2000b-1tb-digital-color-blanco-y-negro-2023-_JM,http://http2.mlstatic.com/D_874219-MLA76609871634_062024-I.jpg,191179311,MLA438566,1499999,Garantía del vendedor: 30 días,Blanco/Negro
MLA1412976451,Google Home Hub Control Por Voz Pantalla Hd 7  Blanco/gris,new,269990,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1412976451-google-home-hub-control-por-voz-pantalla-hd-7-blancogris-_JM,http://http2.mlstatic.com/D_651562-MLA74930300743_032024-I.jpg,119914491,MLA409415,269990,Garantía del vendedor: 3 meses,
MLA1513331832,Consola Sony Playstation 5 Ps5 Standard 825gb + Dualsense,new,1399999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1513331832-consola-sony-playstation-5-ps5-standard-825gb-dualsense-_JM,http://http2.mlstatic.com/D_785072-MLA71854022391_092023-I.jpg,576310358,MLA438566,1399999,Garantía de fábrica: 12 meses,
MLA1816455130,Amazon Lite Fire Tv Stick 2.ª Generación Full Hd 8gb Con 1gb,new,68000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1816455130-amazon-lite-fire-tv-stick-2-generacion-full-hd-8gb-con-1gb-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,130326065,MLA352001,68000,Garantía del vendedor: 3 meses,
MLA1766038568,Consola Xbox Series X 1 Tb Bundle Diablo Iv Negro,new,2229599,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1766038568-consola-xbox-series-x-1-tb-bundle-diablo-iv-negro-_JM,http://http2.mlstatic.com/D_634307-MLU73665058671_122023-I.jpg,231153278,MLA438566,2229599,Garantía de fábrica: 12 meses,
MLA1134755021,Microsoft Xbox One 500gb Standard  Color Negro,new,525998.8,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1134755021-microsoft-xbox-one-500gb-standard-color-negro-_JM,http://http2.mlstatic.com/D_742383-MLA49805199200_042022-I.jpg,441790337,MLA438566,525998.8,Garantía del vendedor: 3 meses,
