id,title,condition,price,currency_id,available_quantity,permalink,thumbnail,seller_id,category_id,base_price,warranty
MLA918072516,Google Nest Mini Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Chalk 110v/220v,new,66490.5,ARS,0,https://articulo.mercadolibre.com.ar/MLA-918072516-google-nest-mini-nest-mini-2nd-gen-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,http://http2.mlstatic.com/D_748685-MLA45255603145_032021-I.jpg,119914491,MLA409415,66490.5,Garantía del vendedor: 6 meses
MLA1146279904,Google Home Mini Con Asistente Virtual Google Assistant Coral 110v/220v,new,69591.3,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1146279904-google-home-mini-con-asistente-virtual-google-assistant-coral-110v220v-_JM,http://http2.mlstatic.com/D_747055-MLA51559102373_092022-I.jpg,309453406,MLA409415,69591.3,Garantía del vendedor: 6 meses
MLA1427416221,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Chalk 110v/220v",new,217252,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1427416221-google-nest-hub-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-chalk-110v220v-_JM,http://http2.mlstatic.com/D_774989-MLA43070779446_082020-I.jpg,1093572823,MLA409415,217252,Garantía del vendedor: 30 días
MLA936088119,"Google Nest Hub 2nd Gen Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",new,329999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-936088119-google-nest-hub-2nd-gen-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-charcoal-110v220v-_JM,http://http2.mlstatic.com/D_678299-MLA48754487602_012022-I.jpg,482880972,MLA409415,329999,Garantía del vendedor: 3 meses
MLA1518314868,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",new,299240.5,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1518314868-google-nest-hub-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-charcoal-110v220v-_JM,http://http2.mlstatic.com/D_740239-MLA43071191161_082020-I.jpg,309453406,MLA409415,299240.5,Garantía del vendedor: 3 meses
MLA873351413,Google Home Mini Asistente Virtual Bulk - Sin Caja - Envío ,new,59998,ARS,0,https://articulo.mercadolibre.com.ar/MLA-873351413-google-home-mini-asistente-virtual-bulk-sin-caja-envio-_JM,http://http2.mlstatic.com/D_858772-MLA43168430717_082020-I.jpg,247639927,MLA409415,59998,Garantía del vendedor: 30 días
MLA1384134643,Google Home Mini Versión Bulk/ Sin Caja/ Cargador Original!,new,59997,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1384134643-google-home-mini-version-bulk-sin-caja-cargador-original-_JM,http://http2.mlstatic.com/D_793296-MLA71226340581_082023-I.jpg,247639927,MLA409415,59997,Garantía del vendedor: 30 días
MLA873646326,Google Home Mini Asistente Virtual Bulk - Sin Caja - Oferta!,new,59994,ARS,0,https://articulo.mercadolibre.com.ar/MLA-873646326-google-home-mini-asistente-virtual-bulk-sin-caja-oferta-_JM,http://http2.mlstatic.com/D_858772-MLA43168430717_082020-I.jpg,247639927,MLA409415,59994,Garantía del vendedor: 30 días
MLA1125935779,Google Home Mini + Chromecast 2nd Generation Netflix Spotify,new,109990,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1125935779-google-home-mini-chromecast-2nd-generation-netflix-spotify-_JM,http://http2.mlstatic.com/D_606031-MLA51092949052_082022-I.jpg,119914491,MLA409415,109990,Garantía del vendedor: 6 meses
MLA1392498187,Google Home Mini Asistente Virtual Bulk Bolsa Nuevo Gtia +,new,101774,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1392498187-google-home-mini-asistente-virtual-bulk-bolsa-nuevo-gtia--_JM,http://http2.mlstatic.com/D_891716-MLA72222350978_102023-I.jpg,53971387,MLA409415,101774,Garantía del vendedor: 6 meses
